Time	Cycle	PC	Insn	Decoded instruction	Register and memory contents
            286	       139	001002e4	00000517	auipc	x10,0x0	 x10=0x001002e4
            288	       140	001002e8	23850513	addi	x10,x10,568	 x10:0x001002e4 x10=0x0010051c
            292	       142	001002ec	8082	c.jr	x1	  x1:0x00100146
            296	       144	00100146	2265	c.jal	1002ee	  x1=0x00100148
            298	       145	001002ee	c509	c.beqz	x10,1002f8	 x10:0x0010051c
            302	       147	001002f0	88a1a023	sw	x10,-1920(x3)	  x3:0x00100d68 x10:0x0010051c PA:0x001005e8 store:0x0010051c
            304	       148	001002f4	4501	c.li	x10,0	 x10=0x00000000
            308	       150	001002f6	8082	c.jr	x1	  x1:0x00100148
            310	       151	00100148	4511	c.li	x10,4	 x10=0x00000004
            314	       153	0010014a	22ed	c.jal	100334	  x1=0x0010014c
            316	       154	00100334	4795	c.li	x15,5	 x15=0x00000005
            318	       155	00100336	04a7e163	bltu	x15,x10,100378	 x15:0x00000005 x10:0x00000004
            320	       156	0010033a	478d	c.li	x15,3	 x15=0x00000003
            326	       159	0010033c	02f50533	mul	x10,x10,x15	 x10:0x00000004 x15:0x00000003 x10=0x0000000c
            328	       160	00100340	1141	c.addi	x2,-16	  x2:0x00100a00  x2=0x001009f0
            332	       162	00100342	c422	c.swsp	x8,8(x2)	  x2:0x001009f0  x8:0x00000000 PA:0x001009f8 store:0x00000000
            334	       163	00100344	00000417	auipc	x8,0x0	  x8=0x00100344
            336	       164	00100348	21040413	addi	x8,x8,528	  x8:0x00100344  x8=0x00100554
            338	       165	0010034c	06000613	addi	x12,x0,96	  x0:0x00000000 x12=0x00000060
            342	       167	00100350	c226	c.swsp	x9,4(x2)	  x2:0x001009f0  x9:0x00000000 PA:0x001009f4 store:0x00000000
            346	       169	00100352	c606	c.swsp	x1,12(x2)	  x2:0x001009f0  x1:0x0010014c PA:0x001009fc store:0x0010014c
            348	       170	00100354	942a	c.add	x8,x10	  x8:0x00100554 x10:0x0000000c  x8=0x00100560
            352	       172	00100356	00044783	lbu	x15,0(x8)	  x8:0x00100560 x15=0x00000002 PA:0x00100560 load:0x00000002
            356	       174	0010035a	00244583	lbu	x11,2(x8)	  x8:0x00100560 x11=0x00000051 PA:0x00100562 load:0x00000051
            358	       175	0010035e	853e	c.mv	x10,x15	  x0:0x00000000 x15:0x00000002 x10=0x00000002
            360	       176	00100360	84be	c.mv	x9,x15	  x0:0x00000000 x15:0x00000002  x9=0x00000002
            364	       178	00100362	20d5	c.jal	100446	  x1=0x00100364
            366	       179	00100446	86b2	c.mv	x13,x12	  x0:0x00000000 x12:0x00000060 x13=0x00000060
            368	       180	00100448	862e	c.mv	x12,x11	  x0:0x00000000 x11:0x00000051 x12=0x00000051
            370	       181	0010044a	85aa	c.mv	x11,x10	  x0:0x00000000 x10:0x00000002 x11=0x00000002
            372	       182	0010044c	8a418513	addi	x10,x3,-1884	  x3:0x00100d68 x10=0x0010060c
            376	       184	00100450	b7dd	c.j	100436
            378	       185	00100436	0622	c.slli	x12,0x8	 x12:0x00000051 x12=0x00005100
            380	       186	00100438	89bd	c.andi	x11,15	 x11:0x00000002 x11=0x00000002
            382	       187	0010043a	05e2	c.slli	x11,0x18	 x11:0x00000002 x11=0x02000000
            384	       188	0010043c	8e55	c.or	x12,x13	 x12:0x00005100 x13:0x00000060 x12=0x00005160
            386	       189	0010043e	8e4d	c.or	x12,x11	 x12:0x00005160 x11:0x02000000 x12=0x02005160
            388	       190	00100440	03000593	addi	x11,x0,48	  x0:0x00000000 x11=0x00000030
            392	       192	00100444	b7a5	c.j	1003ac
            394	       193	001003ac	c159	c.beqz	x10,100432	 x10:0x0010060c
            398	       195	001003ae	411c	c.lw	x15,0(x10)	 x10:0x0010060c x15=0x00000000 PA:0x0010060c load:0x00000000
