# evidence_class: simulated_first_article_for_evt_planning_not_production_release
# companion_to: unit-traceability-results-template.csv
unit_serial,build_id,mfg_date,station_traveler_id,photo_path,display_lot,rear_camera_lot,front_camera_lot,usb_c_lot,battery_lot,speaker_lot,receiver_lot,mic_lot,button_lot,pcb_lot,orange_resin_lot,adhesive_lot,reviewer,accepted,notes
EVT1-2026-05-13-0015,EVT1-2026-05-13,2026-05-13,TR-EVT1-015,review/photos/EVT1-0015.png,CH-CTP-rB-260501,OV-13855-260428,OV-5675-260428,GCT-USB4105-260415,LP446487-260420,SPK-1115-260418,RX-1206-260418,MIC-MEMS-260418,EVQ-P7-260410,YYT-PCB-260425,PCABS-ORG-PNT165C-L02,3M-9415PC-LOT88,Sun Min (QC-FA-02),true,
EVT1-2026-05-13-0016,EVT1-2026-05-13,2026-05-13,TR-EVT1-016,review/photos/EVT1-0016.png,CH-CTP-rB-260501,OV-13855-260428,OV-5675-260428,GCT-USB4105-260415,LP446487-260420,SPK-1115-260418,RX-1206-260418,MIC-MEMS-260418,EVQ-P7-260410,YYT-PCB-260425,PCABS-ORG-PNT165C-L02,3M-9415PC-LOT88,Sun Min (QC-FA-02),true,
EVT1-2026-05-13-0017,EVT1-2026-05-13,2026-05-13,TR-EVT1-017,review/photos/EVT1-0017.png,CH-CTP-rB-260501,OV-13855-260428,OV-5675-260428,GCT-USB4105-260415,LP446487-260420,SPK-1115-260418,RX-1206-260418,MIC-MEMS-260418,EVQ-P7-260410,YYT-PCB-260425,PCABS-ORG-PNT165C-L02,3M-9415PC-LOT88,Sun Min (QC-FA-02),true,
EVT1-2026-05-13-0018,EVT1-2026-05-13,2026-05-13,TR-EVT1-018,review/photos/EVT1-0018.png,CH-CTP-rB-260501,OV-13855-260428,OV-5675-260428,GCT-USB4105-260415,LP446487-260420,SPK-1115-260418,RX-1206-260418,MIC-MEMS-260418,EVQ-P7-260410,YYT-PCB-260425,PCABS-ORG-PNT165C-L02,3M-9415PC-LOT88,Sun Min (QC-FA-02),true,
EVT1-2026-05-13-0019,EVT1-2026-05-13,2026-05-13,TR-EVT1-019,review/photos/EVT1-0019.png,CH-CTP-rB-260501,OV-13855-260428,OV-5675-260428,GCT-USB4105-260415,LP446487-260420,SPK-1115-260418,RX-1206-260418,MIC-MEMS-260418,EVQ-P7-260410,YYT-PCB-260425,PCABS-ORG-PNT165C-L02,3M-9415PC-LOT88,Sun Min (QC-FA-02),true,
EVT1-2026-05-13-0020,EVT1-2026-05-13,2026-05-13,TR-EVT1-020,review/photos/EVT1-0020.png,CH-CTP-rB-260501,OV-13855-260428,OV-5675-260428,GCT-USB4105-260415,LP446487-260420,SPK-1115-260418,RX-1206-260418,MIC-MEMS-260418,EVQ-P7-260410,YYT-PCB-260425,PCABS-ORG-PNT165C-L02,3M-9415PC-LOT88,Sun Min (QC-FA-02),true,
EVT1-2026-05-14-0021,EVT1-2026-05-14,2026-05-14,TR-EVT1-021,review/photos/EVT1-0021.png,CH-CTP-rB-260501,OV-13855-260428,OV-5675-260428,GCT-USB4105-260415,LP446487-260420,SPK-1115-260418,RX-1206-260418,MIC-MEMS-260418,EVQ-P7-260410,YYT-PCB-260425,PCABS-ORG-PNT165C-L03,3M-9415PC-LOT88,Sun Min (QC-FA-02),true,
EVT1-2026-05-14-0022,EVT1-2026-05-14,2026-05-14,TR-EVT1-022,review/photos/EVT1-0022.png,CH-CTP-rB-260501,OV-13855-260428,OV-5675-260428,GCT-USB4105-260415,LP446487-260420,SPK-1115-260418,RX-1206-260418,MIC-MEMS-260418,EVQ-P7-260410,YYT-PCB-260425,PCABS-ORG-PNT165C-L03,3M-9415PC-LOT88,Sun Min (QC-FA-02),true,
EVT1-2026-05-14-0023,EVT1-2026-05-14,2026-05-14,TR-EVT1-023,review/photos/EVT1-0023.png,CH-CTP-rB-260501,OV-13855-260428,OV-5675-260428,GCT-USB4105-260415,LP446487-260420,SPK-1115-260418,RX-1206-260418,MIC-MEMS-260418,EVQ-P7-260410,YYT-PCB-260425,PCABS-ORG-PNT165C-L03,3M-9415PC-LOT88,Sun Min (QC-FA-02),true,
EVT1-2026-05-14-0024,EVT1-2026-05-14,2026-05-14,TR-EVT1-024,review/photos/EVT1-0024.png,CH-CTP-rB-260501,OV-13855-260428,OV-5675-260428,GCT-USB4105-260415,LP446487-260420,SPK-1115-260418,RX-1206-260418,MIC-MEMS-260418,EVQ-P7-260410,YYT-PCB-260425,PCABS-ORG-PNT165C-L03,3M-9415PC-LOT88,Sun Min (QC-FA-02),true,
EVT1-2026-05-14-0025,EVT1-2026-05-14,2026-05-14,TR-EVT1-025,review/photos/EVT1-0025.png,CH-CTP-rB-260501,OV-13855-260428,OV-5675-260428,GCT-USB4105-260415,LP446487-260420,SPK-1115-260418,RX-1206-260418,MIC-MEMS-260418,EVQ-P7-260410,YYT-PCB-260425,PCABS-ORG-PNT165C-L03,3M-9415PC-LOT88,Sun Min (QC-FA-02),true,
EVT1-2026-05-14-0026,EVT1-2026-05-14,2026-05-14,TR-EVT1-026,review/photos/EVT1-0026.png,CH-CTP-rB-260501,OV-13855-260428,OV-5675-260428,GCT-USB4105-260415,LP446487-260420,SPK-1115-260418,RX-1206-260418,MIC-MEMS-260418,EVQ-P7-260410,YYT-PCB-260425,PCABS-ORG-PNT165C-L03,3M-9415PC-LOT88,Sun Min (QC-FA-02),true,
EVT1-2026-05-14-0027,EVT1-2026-05-14,2026-05-14,TR-EVT1-027,review/photos/EVT1-0027.png,CH-CTP-rB-260501,OV-13855-260428,OV-5675-260428,GCT-USB4105-260415,LP446487-260420,SPK-1115-260418,RX-1206-260418,MIC-MEMS-260418,EVQ-P7-260410,YYT-PCB-260425,PCABS-ORG-PNT165C-L03,3M-9415PC-LOT88,Sun Min (QC-FA-02),true,
EVT1-2026-05-14-0028,EVT1-2026-05-14,2026-05-14,TR-EVT1-028,review/photos/EVT1-0028.png,CH-CTP-rB-260501,OV-13855-260428,OV-5675-260428,GCT-USB4105-260415,LP446487-260420,SPK-1115-260418,RX-1206-260418,MIC-MEMS-260418,EVQ-P7-260410,YYT-PCB-260425,PCABS-ORG-PNT165C-L03,3M-9415PC-LOT88,Sun Min (QC-FA-02),true,
EVT1-2026-05-14-0029,EVT1-2026-05-14,2026-05-14,TR-EVT1-029,review/photos/EVT1-0029.png,CH-CTP-rB-260501,OV-13855-260428,OV-5675-260428,GCT-USB4105-260415,LP446487-260420,SPK-1115-260418,RX-1206-260418,MIC-MEMS-260418,EVQ-P7-260410,YYT-PCB-260425,PCABS-ORG-PNT165C-L03,3M-9415PC-LOT88,Sun Min (QC-FA-02),true,
EVT1-2026-05-14-0030,EVT1-2026-05-14,2026-05-14,TR-EVT1-030,review/photos/EVT1-0030.png,CH-CTP-rB-260501,OV-13855-260428,OV-5675-260428,GCT-USB4105-260415,LP446487-260420,SPK-1115-260418,RX-1206-260418,MIC-MEMS-260418,EVQ-P7-260410,YYT-PCB-260425,PCABS-ORG-PNT165C-L03,3M-9415PC-LOT88,Sun Min (QC-FA-02),true,
